Name	LlanoGrande	ITCR	Barrancas	DUMMY_1	DUMMY_2	DUMMY_3
X	508703	510023	504301	509203	510523	504801
Y	1097951	1089525	1087742	1098451	1090025	1088242
Z	2130	1383	1405	2130	1383	1405
ASPECT	170.75	63.44	90	170.75	63.44	90
SLOPE	3.12	0.32	2.29	3.12	0.32	2.29
01-01-14	0.5	0.5	0.0	0.5	0.5	0.0
02-01-14	0.3	0.3	0.5	0.3	0.3	0.5
03-01-14	0.0	0.0	0.0	0.0	0.0	0.0
04-01-14	0.3	0.3	0.0	0.3	0.3	0.0
05-01-14	0.0	0.0	1.0	0.0	0.0	1.0
06-01-14	0.3	0.3	0.3	0.3	0.3	0.3
07-01-14	0.0	0.0	0.0	0.0	0.0	0.0
08-01-14	0.3	0.3	0.3	0.3	0.3	0.3
09-01-14	6.6	7.2	0.0	6.6	7.2	0.0
10-01-14	1.8	2.0	0.0	1.8	2.0	0.0
11-01-14	0.3	0.3	0.0	0.3	0.3	0.0
12-01-14	1.0	1.1	0.3	1.0	1.1	0.3
13-01-14	0.3	0.3	0.3	0.3	0.3	0.3
14-01-14	0.0	0.0	0.0	0.0	0.0	0.0
15-01-14	0.0	0.0	0.3	0.0	0.0	0.3
16-01-14	1.5	1.6	0.3	1.5	1.6	0.3
17-01-14	0.8	0.9	1.0	0.8	0.9	1.0
18-01-14	0.0	0.0	0.3	0.0	0.0	0.3
19-01-14	1.3	1.4	4.6	1.3	1.4	4.6
20-01-14	0.8	0.9	0.3	0.8	0.9	0.3
21-01-14	0.3	0.3	4.1	0.3	0.3	4.1
22-01-14	0.8	0.9	0.0	0.8	0.9	0.0
23-01-14	0.8	0.9	0.3	0.8	0.9	0.3
24-01-14	0.3	0.3	0.0	0.3	0.3	0.0
25-01-14	0.0	0.0	0.0	0.0	0.0	0.0
26-01-14	0.3	0.3	0.0	0.3	0.3	0.0
27-01-14	0.0	0.0	0.3	0.0	0.0	0.3
28-01-14	0.3	0.3	0.3	0.3	0.3	0.3
29-01-14	0.3	0.0	0.0	0.3	0.0	0.0
30-01-14	0.3	0.0	0.0	0.3	0.0	0.0
31-01-14	0.0	0.0	0.0	0.0	0.0	0.0
