"","DATE","UK.ALL","UK.CAL","MAE.UK","RMSE.UK"
"result.1","01-01-14",0,0,1.0654,1.4683
"result.2","02-01-14",1.9718,1.9718,0.4804,0.6016
"result.3","03-01-14",0,0,0,0
"result.4","04-01-14",0,0,0.76,1.0569
"result.5","05-01-14",6.0197,6.0197,2.3333,3.2781
"result.6","06-01-14",0.5103,0.5103,0.1261,0.145
"result.7","07-01-14",0,0,0,0
"result.8","08-01-14",0.5103,0.5103,0.1261,0.145
"result.9","09-01-14",0,0,16.8892,23.6363
"result.10","10-01-14",0,0,5.0054,6.8702
"result.11","11-01-14",0,0,0.76,1.0569
"result.12","12-01-14",0,0,2.9228,4.0887
"result.13","13-01-14",0.5103,0.5103,0.1261,0.145
"result.14","14-01-14",0,0,0,0
"result.15","15-01-14",1.7482,1.7482,0.7286,1.0343
"result.16","16-01-14",0,0,3.0335,4.1774
"result.17","17-01-14",2.3532,2.3532,0.7675,0.9169
"result.18","18-01-14",1.7482,1.7482,0.7286,1.0343
"result.19","19-01-14",22.296,22.296,8.5207,11.9398
"result.20","20-01-14",0,0,1.6307,2.2062
"result.21","21-01-14",23.7648,23.7648,8.7075,12.188
"result.22","22-01-14",0,0,1.961,2.682
"result.23","23-01-14",0,0,1.6307,2.2062
"result.24","24-01-14",0,0,0.76,1.0569
"result.25","25-01-14",0,0,0,0
"result.26","26-01-14",0,0,0.76,1.0569
"result.27","27-01-14",1.7482,1.7482,0.7286,1.0343
"result.28","28-01-14",0.5103,0.5103,0.1261,0.145
"result.29","29-01-14",0,0,0.2051,0.2965
"result.30","30-01-14",0,0,0.2051,0.2965
"result.31","31-01-14",0,0,0,0
