X	Y	Z	ASPECT	SLOPE
494509.7	1102771.863	1235	0	0
494609.7	1102771.863	1235	0	0
494709.7	1102771.863	1235	0	0
494809.7	1102771.863	1235	0	0
494909.7	1102771.863	1235	0	0
495009.7	1102771.863	1235	0	0
495109.7	1102771.863	1235	0	0
495209.7	1102771.863	1235	0	0
495309.7	1102771.863	1235	0	0
495409.7	1102771.863	1235	0	0
495509.7	1102771.863	1235	0	0
495609.7	1102771.863	1235	0	0
495709.7	1102771.863	1235	0	0
495809.7	1102771.863	1235	0	0
495909.7	1102771.863	1235	0	0
496009.7	1102771.863	1235	0	0
496109.7	1102771.863	1235	0	0
496209.7	1102771.863	1235	0	0
496309.7	1102771.863	1235	0	0
496409.7	1102771.863	1235	270	5.71
496509.7	1102771.863	1235	270	8.53
496609.7	1102771.863	1255	270	5.71
496709.7	1102771.863	1265	270	5.71
496809.7	1102771.863	1275	270	2.86
496909.7	1102771.863	1285	0	0
497009.7	1102771.863	1285	90	2.86
497109.7	1102771.863	1285	0	0
497209.7	1102771.863	1275	270	8.53
497309.7	1102771.863	1285	270	8.53
497409.7	1102771.863	1305	270	2.86
497509.7	1102771.863	1315	270	2.86
497609.7	1102771.863	1315	270	5.71
497709.7	1102771.863	1325	270	2.86
497809.7	1102771.863	1335	270	2.86
497909.7	1102771.863	1335	270	2.86
498009.7	1102771.863	1345	0	0
498109.7	1102771.863	1345	270	2.86
498209.7	1102771.863	1345	270	2.86
498309.7	1102771.863	1355	0	0
498409.7	1102771.863	1355	0	0
498509.7	1102771.863	1355	270	2.86
498609.7	1102771.863	1355	270	5.71
498709.7	1102771.863	1365	270	2.86
498809.7	1102771.863	1375	0	0
498909.7	1102771.863	1375	0	0
499009.7	1102771.863	1375	0	0
499109.7	1102771.863	1375	270	2.86
499209.7	1102771.863	1375	270	2.86
499309.7	1102771.863	1385	270	2.86
499409.7	1102771.863	1385	270	2.86
499509.7	1102771.863	1395	0	0
499609.7	1102771.863	1395	0	0
499709.7	1102771.863	1395	0	0
499809.7	1102771.863	1395	270	2.86
499909.7	1102771.863	1395	270	5.71
500009.7	1102771.863	1405	270	8.53
500109.7	1102771.863	1415	270	8.53
500209.7	1102771.863	1435	270	5.71
500309.7	1102771.863	1445	270	2.86
500409.7	1102771.863	1455	0	0
500509.7	1102771.863	1455	0	0
500609.7	1102771.863	1455	270	2.86
